provincia,anio,prediccion_crimenes
AZUAY,2024,2737.6829867446804
AZUAY,2025,2624.4444437887473
BOLIVAR,2024,727.502594642594
BOLIVAR,2025,697.4109681785862
CARCHI,2024,1670.5796508613969
CARCHI,2025,1601.4796102535825
CAÑAR,2024,1212.8553970475873
CAÑAR,2025,1162.6881648870728
CHIMBORAZO,2024,2051.0109386715
CHIMBORAZO,2025,1966.1751518377532
COTOPAXI,2024,2248.270887252812
COTOPAXI,2025,2155.2758543452637
EL ORO,2024,4373.5807945966235
EL ORO,2025,4192.676753084829
ESMERALDAS,2024,3180.8495959827997
ESMERALDAS,2025,3049.2803911643264
GALAPAGOS,2024,313.48560398351503
GALAPAGOS,2025,300.5189262474031
GUAYAS,2024,14738.957505555996
GUAYAS,2025,14129.311289869336
IMBABURA,2024,2658.811383441761
IMBABURA,2025,2548.835199744317
LOJA,2024,2232.799260205498
LOJA,2025,2140.444178860084
LOS RIOS,2024,3735.4418211945795
LOS RIOS,2025,3580.933066464103
MANABI,2024,5075.2159538621145
MANABI,2025,4865.290238363028
MORONA SANTIAGO,2024,1246.2502032073376
MORONA SANTIAGO,2025,1194.7016645879905
NAPO,2024,1179.6371766263965
NAPO,2025,1130.843946824189
ORELLANA,2024,1380.3627161514364
ORELLANA,2025,1323.26689333904
PASTAZA,2024,1106.5252694499493
PASTAZA,2025,1060.756161096966
PICHINCHA,2024,11927.862431988426
PICHINCHA,2025,11434.491297011522
SANTA ELENA,2024,1049.9370358438778
SANTA ELENA,2025,1006.5085816692736
SANTO DOMINGO DE LOS TSACHILAS,2024,2832.000945003142
SANTO DOMINGO DE LOS TSACHILAS,2025,2714.861136553912
SUCUMBIOS,2024,1293.8829370888989
SUCUMBIOS,2025,1240.3641698463432
TUNGURAHUA,2024,2617.1408281569015
TUNGURAHUA,2025,2508.888260008617
ZAMORA CHINCHIPE,2024,657.0625368238354
ZAMORA CHINCHIPE,2025,629.8845163367616
